Date,Time,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,month,hour
2004-10-03,18.00.00,2.6,1360.0,11.9,1046.0,166.0,1056.0,113.0,1692.0,1268.0,13.6,48.9,0.7578,10,18
2004-10-03,19.00.00,2.0,1292.0,9.4,955.0,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255,10,19
2004-10-03,20.00.00,2.2,1402.0,9.0,939.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502,10,20
2004-10-03,21.00.00,2.2,1376.0,9.2,948.0,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867,10,21
2004-10-03,22.00.00,1.6,1272.0,6.5,836.0,131.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888,10,22
2004-10-03,23.00.00,1.2,1197.0,4.7,750.0,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848,10,23
2004-11-03,00.00.00,1.2,1185.0,3.6,690.0,62.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603,11,00
2004-11-03,01.00.00,1.0,1136.0,3.3,672.0,62.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702,11,01
2004-11-03,02.00.00,0.9,1094.0,2.3,609.0,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648,11,02
2004-11-03,03.00.00,0.6,1010.0,1.7,561.0,21.0,1705.0,34.0,1235.0,501.0,10.3,60.2,0.7517,11,03
2004-11-03,04.00.00,0.7,1011.0,1.3,527.0,16.0,1818.0,28.0,1197.0,445.0,10.1,60.5,0.7465,11,04
2004-11-03,05.00.00,0.7,1066.0,1.1,512.0,34.0,1918.0,48.0,1182.0,422.0,11.0,56.2,0.7366,11,05
2004-11-03,06.00.00,1.1,1052.0,1.6,553.0,98.0,1738.0,82.0,1221.0,472.0,10.5,58.1,0.7353,11,06
2004-11-03,07.00.00,2.0,1144.0,3.2,667.0,174.0,1490.0,112.0,1339.0,730.0,10.2,59.6,0.7417,11,07
2004-11-03,08.00.00,2.2,1333.0,8.0,900.0,129.0,1136.0,101.0,1517.0,1102.0,10.8,57.4,0.7408,11,08
